Gene names	Gly N terminus_	Post-Myr_	Fatty acid metabolism_	Co-myristoylated_
PDGFRA	+			
PDE9A	+			
PDE8B	+			
PDE8A	+			
PDE7A	+			
PDE6C	+			
PDE6A	+			
PDE2A	+			+
PDE1A	+			
PDCD2	+			
PCYOX1	+			
PCSK9	+			
PCSK6	+			
PCSK5	+			
PCSK4	+			
PCSK1	+			
PCOLCE2	+			
PCNXL3	+			
PCNX	+			
PCMTD2	+			+
PCMTD1	+			+
PCLO	+			
PCK2	+			
PCDHGC5	+			
PCDHGB7	+			
PCDHGB6	+			
PCDHGB5	+			
PCDHGB4	+			
PCDHGB3	+			
PCDHB5	+			
PCDH18	+			
PCDH1	+			
PCCA	+		+	
PCBP3	+			
PC	+			
PBRM1	+			
PAWR	+			
PARVA	+			
PARP8	+			
PARP10	+			
PARN	+			
PARK2	+			
PAPLN	+			
PAPL	+			
PANO1	+			
PANK2	+			
PALLD	+			
PALD1	+			+
PAGE1	+			
PAG1	+			
PAFAH2	+			
PACS2	+			
PACRG	+			
PABPC5	+			
P4HA3	+			
P2RX6	+			
P2RX5	+			
OVCH1	+			
OTOP3	+			
OTOG	+			
OTOA	+			
OSR2	+			
OSR1	+			
OSM	+			
OSGIN1	+			
OSCP1	+			
OSBPL7	+			
OSBP2	+			
ORC6	+			
OR8K5	+			
OR8H2	+			
OR8H1	+			
OR8D4	+			
OR8A1	+			
OR7G1	+			
OR6M1	+			
OR6J1	+			
OR5P3	+			
OR5L2	+			
OR5L1	+			
OR5AK3P	+			
OR52Z1	+			
OR51L1	+			
OR51I2	+			
OR51B6	+			
OR4S1	+			
OR2Z1	+			
OR2Y1	+			
OR2W6P	+			
OR2W5	+			
OR2V1	+			
OR2T35	+			
OR2T2	+			
OR2G3	+			
OR2G2	+			
OR2F1	+			
OR2AJ1	+			
OR2A7	+			
OR2A4	+			
OR2A25	+			
OR2A1	+			
OR1P1	+			
OR1L3	+			
OR1L1	+			
OR10Z1	+			
OR10G2	+			
OPTN	+			
OPLAH	+			
OPHN1	+			
OPCML	+			
OMD	+			
OLIG1	+			
OLFML3	+			
OLFM1	+			
OGFRL1	+			
ODR4	+			
ODF3L2	+			
ODF3B	+			
ODF2L	+			
ODF2	+			
OCLM	+			
OCC-1	+			
OCC1	+			
OBSCN	+			
OAS2	+			+
OARD1	+			
NYNRIN	+			
NYAP1	+			
NVL	+			
NUTF2	+			
NUP98	+			
NUP88	+			
NUP214	+			
NUP210L	+			
NUP160	+			
NUDT1	+			
NUDC	+			
NUBPL	+			
NTRK3	+			
NTN4	+			
NTM	+			
NT5M	+			
NSUN5	+			
NSUN2	+			
NSMF	+			+
NRXN1	+			
NRN1	+			
NRG1	+			
NRDE2	+			
NRCAM	+			
NR1H4	+			
NPY2R	+			
NPW	+			
NPRL2	+			
NPR2	+			
NPNT	+			
NPHP3	+			+
NPAS3	+			
NPAP1	+			
NOX1	+			
NOTUM	+			
NOTCH3	+			
NOS3	+			+
NOS1	+			
NOP9	+			
NOP2	+			
NOL6	+			
NOL4L	+			
NOL4	+			
NOL3	+			+
NOL12	+			
NOD2	+			
NNT	+			
NMRK1	+			
NMRAL1	+			
NME9	+			
NME4	+			
NKTR	+			
NKRF	+			
NKIRAS2	+			
NKIRAS1	+			
NKG7	+			
NKD2	+			+
NKD1	+			+
NKAIN4	+			
NKAIN3	+			
NKAIN2	+			
NKAIN1	+			
NIPAL1	+			
NIPA1	+			
NGLY1	+			
NGFR	+			
NFKBIZ	+			
NFIX	+			
NFE2L1	+			
NFATC4	+			
NFAT5	+			
NF1	+			
NEURL3	+			
NEURL1B	+			
NEURL1	+			+
NEU4	+			
NELL2	+			
NEK6	+			
NEIL2	+			
NECAP2	+			
NDUFV1	+			
NDUFB7	+			+
NDUFAF4	+			+
NDUFAF2	+			
NDUFA6	+			
NCSTN	+			
NCS1	+			+
NCOA4	+			
NCF1B	+			
