Gene names	Gly N terminus_	Post-Myr_	Fatty acid metabolism_	Co-myristoylated_
ABHD5			+	
ACAA1			+	
ACACA			+	
ACACB			+	
ACAD10			+	
ACAD11			+	
ACAD8			+	
ACAD9			+	
ACADL			+	
ACADM			+	
ACADS			+	
ACADVL			+	
ACLY			+	
ACOT1			+	
ACOT11			+	
ACOT12			+	
ACOT2			+	
ACOT4			+	
ACOT7			+	
ACOT8			+	
ACOX1			+	
ACOX3			+	
ACOXL			+	
ACSBG1			+	
ACSBG2			+	
ACSL1			+	
ACSL3			+	
ACSL4			+	
ACSL5			+	
ACSL6			+	
ACSM1			+	
ACSM2A			+	
ACSM2B			+	
ACSM3			+	
ACSM4			+	
ACSM5			+	
ACSM6			+	
ACSS1			+	
ADIPOQ			+	
ADIPOR1			+	
ADIPOR2			+	
AGMO			+	
AGPAT6			+	
AKR1C2			+	
AKR1C3			+	
ALD			+	
ALDH3A2			+	
ALDH5A1			+	
ALOX12B			+	
ALOX15B			+	
ALOX5			+	
ALOX5AP			+	
AMACR			+	
ANGPTL3			+	
AUH			+	
AWAT1			+	
B2R856			+	
B2R8P6			+	
B2RB06			+	
B2RDE6			+	
B3KNH1			+	
B3KQE8			+	
B3KTT6			+	
B3KW19			+	
B3KWH9			+	
B4DDZ5			+	
B4DPM1			+	
B4DRH6			+	
B4DSC2			+	
B4DU07			+	
B4DU63			+	
B4DVZ8			+	
B4DWM9			+	
B4DYJ7			+	
B4DYM0			+	
B4E0L7			+	
B7Z3U1			+	
BAAT			+	
BRCA1			+	
C11orf11			+	
CBR1			+	
CBR4			+	
CD74			+	
CH25H			+	
COX-2			+	
CPT1A			+	
CPT1B			+	
CPT1C			+	
CPT2			+	
CRAT			+	
CREM			+	
CROT			+	
CRYL1			+	
CYGB			+	
CYP1A1			+	
CYP1A2			+	
CYP2A13			+	
CYP2A6			+	
CYP2A7			+	
CYP2B6			+	
CYP2C18			+	
CYP2C19			+	
CYP2C8			+	
CYP2C9			+	
CYP2F1			+	
CYP2J2			+	
CYP2U1			+	
CYP4A11			+	
CYP4F2			+	
CYP4F3			+	
CYP4V2			+	
DAGLA			+	
DAGLB			+	
DECR1			+	
DECR2			+	
DKFZp434A091			+	
DKFZp781P1796			+	
DLD			+	
DPEP1			+	
E9KL44			+	
ECH1			+	
ECHDC2			+	
ECHS1			+	
ECI1			+	
EDN1			+	
EDN2			+	
EHHADH			+	
ELOVL1			+	
ELOVL2			+	
ELOVL3			+	
ELOVL5			+	
ELOVL6			+	
ELOVL7			+	
EPHX2			+	
ETFA			+	
ETFB			+	
ETFDH			+	
FA2H			+	
FAAH2			+	
FABP3			+	
FADS2P1			+	
FADS6			+	
FAM213B			+	
FAXDC2			+	
FCER1A			+	
FLJ00336			+	
GGT1			+	
GGT2			+	
GGT3P			+	
GGT5			+	
GGT6			+	
GGTA1P			+	
GGTLC1			+	
GGTLC2			+	
GGTLC3			+	
GHR			+	
GPAM			+	
GPAT4			+	
GPX1			+	
GSTA1			+	
GSTM2			+	
GSTP1			+	
HACD2			+	
HACD3			+	
HACL1			+	
HADHA			+	
HADHB			+	
HAO1			+	
HAO2			+	
hCG_30204			+	
HEL30			+	
HNF1A			+	
HPGD			+	
HPGDS			+	
HSD17B12			+	
HSD17B8			+	
IVD			+	
LEP			+	
LIAS			+	
LIPC			+	
LIPE			+	
LPIN2			+	
LPIN3			+	
LPL			+	
LTA4H			+	
LTC4S			+	
LYPLA1			+	
LYPLA2			+	
MAPK14			+	
MAPK3			+	
MAPKAPK2			+	
MCAT			+	
MECR			+	
MGLL			+	
MGST2			+	
MIF			+	
MLYCD			+	
MMAA			+	
MORC2			+	
MSMO1			+	
MUT			+	
MYO5A			+	
NDUFAB1			+	
NDUFS6			+	
NR1C1			+	
NUDT19			+	
OLAH			+	
OXSM			+	
PAM			+	
PCCB			+	
PECR			+	
PER2			+	
PEX13			+	
PEX2			+	
PEX5			+	
PEX7			+	
PGIS			+	
PHYH			+	
PLA2G1B			+	
PLA2G4A			+	
PLA2G4B			+	
PLA2G4F			+	
PLA2G5			+	
PNPLA8			+	
PPARA			+	
PPARD			+	
PPARGC1A			+	
PRG3			+	+
PRKAA1			+	
PRKAA2			+	
PRKAG1			+	
PRKAG3			+	
PRKAR2B			+	
PTGES			+	
PTGES2			+	
PTGES3			+	
PTGIS			+	
PTGR1			+	
PTGR2			+	
PTGS1			+	
PTGS2			+	
Q53GS2			+	
Q59GJ9			+	
Q59GX7			+	
Q59H28			+	
Q8IZA9			+	
Q9BTA1			+	
QKI			+	
RPP14			+	
SC5D			+	
SC5DL			+	
SCD			+	
SCD5			+	
SESN2			+	
SGPL1			+	
SLC27A1			+	
SLC27A2			+	
SLC27A4			+	
SLC27A6			+	
SNCA			+	
SPHK1			+	
SSTR4			+	
STAT5A			+	
STAT5B			+	
SYK			+	
Symbol			+	
TBXAS1			+	
TH			+	
THEM4			+	
THEM5			+	
THNSL2			+	
TNXB			+	
TYRP1			+	
UCP3			+	
UGT1A7			+	
UGT1A8			+	
V9GY18			+	
V9GYW3			+	
XBP1			+	
SPECC1				+
IL1A				+
PHF24				+
TNF				+
AMPK				+
ABLL				+
ABL				+
AMID				+
KIAA1386				+
ANX13				+
AKAP15				+
AKAP250				+
HRMT1L3				+
ARLTS1				+
ARF7				+
ARF4L				+
ARFLP5				+
BBS3				+
ARL7				+
ARL12				+
ARF2				+
ARL8				+
ARL17P1				+
ARFL3				+
ARL4				+
NAP22				+
KIAA1525				+
KIAA0434				+
CBLP				+
C10orf9				+
CNA2				+
CDK5R				+
CCHL				+
VPS20				+
NCK5AI				+
CHP3				+
CHP				+
CIB				+
CGI149				+
HCA520				+
CD92				+
CYTSB				+
C14orf66				+
SCCRO3				+
KIAA0801				+
DES1				+
CCD1				+
C20orf57				+
JSP1				+
ENTK				+
KIAA1706				+
E42P				+
BM-009				+
KIAA0773				+
SRC2				+
ESA1				+
FHOD2				+
FHOD3				+
C17orf1				+
C9orf19				+
ERVK5				+
ERVK6				+
GNATR				+
GIMPC				+
GOLPH5				+
GOLPH6				+
GNATC				+
GNAI2B				+
GCAP2				+
GCAP3				+
C6orf131				+
C17orf28				+
BDR1				+
BDR2				+
IL1F1				+
IRK1				+
PKACA				+
PRKGR2				+
GPR69B				+
JTK8				+
C11orf59				+
MOSC1				+
FEZ1				+
MACS				+
MIC19				+
CHCM1				+
KIAA0544				+
MLP				+
FLUP				+
NAT11				+
C6orf66				+
DIA1				+
EPN				+
NEURL				+
C1orf24				+
NKD				+
ARC				+
KIAA2000				+
C9orf88				+
NELF				+
PACE1				+
KIAA1274				+
C20orf36				+
VPS15				+
C6orf56				+
PP2CB				+
PPM1C				+
PPPM1A				+
RNF205				+
RCV1				+
C2orf11				+
KIAA0084				+
EC45				+
KIAA1917				+
CGI-123				+
ZNF230				+
OK/SW-cl.83				+
KIAA1253				+
C20orf156				+
SLAP				+
SRC1				+
YANK1				+
MPSK1				+
KIAA1103				+
EMOC				+
TIRAP3				+
KIAA2016				+
KIAA1609				+
TNFA				+
C3orf11				+
VISL1				+
YES				+
RNF202				+
NIN283				+
KIAA0399				+
ARG				+
JTK7				+
AKAP18				+
HRMT1L4				+
ARL5				+
ZNF231				+
PPP3RL				+
CBCP1				+
CNB				+
NCK5A				+
KIP				+
NEDF				+
CDW92				+
NSP5				+
MLD				+
KIAA1735				+
VHY				+
LMWDSP2				+
PRSS7				+
M17S1				+
KIAA1902				+
FRL2				+
C17orf1B				+
GAPR1				+
PRO2667				+
CGI-149				+
WBP3				+
FRL1				+
GUCA1				+
My013				+
UNQ396/PRO732				+
PDAP2				+
GOLPH4				+
GRASP65				+
GCAP				+
DMC1				+
TASP				+
PDRO				+
PRKCSL				+
MINOS3				+
MIC25				+
RNF156				+
MRP				+
FREQ				+
HRPAP20				+
NEURL1A				+
NIBAN				+
PP7246				+
NOP				+
PALD				+
KIAA0680				+
MIG2				+
TCBAP0781				+
TDE1L				+
SLAP2				+
SLAP1				+
PKL12				+
TIRP				+
STEF				+
TNFSF2				+
FUS1				+
ARF1P2				+
CFP1				+
PRKDCIP				+
VPS24				+
CTL1				+
MIG15				+
MKPX				+
KIAA2014				+
FMNL				+
GPP130				+
GCAP1				+
PP7157				+
HSPC125				+
RNF67				+
GIG39				+
TDE2				+
TSF1				+
TRAM				+
LGCC				+
